글레이즈드 초콜릿 케익,빵류,80,g,333,3,0,0
샘표 비빔국수,면류,135,g,413,10,1.9,89
띠띠뽀띠띠뽀 우유듬뿍 치즈케이크,빵류,34,g,110,2,0,0
매실요구르트(파우치),기타,120,mL,115,4,3.8,16
모카빵,빵류,150,g,507,12.8,12.1,86.9
야채라면,면류,100,g,350,9,1,76
파파스윙,튀김류,123,g,263,25,0,0
누드 누가바,빙과류,70,mL,115,1.4,5.5,15
비타민요구르트,유가공품,100,g,69,1.1,0,15.39
맥너겟? 6조각,튀김류,95,g,278,15,0,0
고소쌈장,장류,15,g,40,2,1.1,5
돌체 콜드 브루,음료류,355,mL,265,8,0,0
들깨버섯탕,탕류,500,g,280,14,1.3,53
에그랩,버거류,145,g,288,8,0,0
청포묵무침,무침류,250,g,149,2.9,5.2,22.7
리핏 더블딥초코,특수용도식품,30,g,115,11,1.4,16
프렌치카페 듀얼 로스터리 콜드브류 카페오레,음료류,320,mL,185,5,6,28
청정원 올리브유,식용유지류,5,g,2.25,0,0.25,0
누가바,빙과류,63,g,140,2,8,12
알밥,밥류,330,g,422,15.6,16.9,52
카카오하니딥,빵류,53,g,240,3,0,0
메로나 멀티 트레이더스,빙과류,100,g,156.25,1.25,6.25,25
짠맛을 줄인 고추장,장류,100,mL,250,6,3,50
클래식초유시금치당근참깨죽,특수용도식품,180,g,6,5,4,8
키위주스,음료류,360,mL,155,1,0,0
내몸엔시리즈C,기타,2,g,10,0.7,0,0
마맘 블루베리잼,잼류,20,g,23,0,0,5
올리브떡볶이 전용유,식용유지류,5,g,2.25,0,0.25,0
쏘이밀크 그린티,빙과류,100,g,90,2,1.3,20
플레인 / 어니언 / 블루베리 베이글,빵류,110,g,305.1,11,0,0
이정섭의 1등급 훈제오리,식육가공품 및 포장육,160,g,485,31,39,3
환타 포도(M),음료류,348,mL,111,0,0,0
딸기빙수,빙과류,100,g,114,2,5,17
그린티라떼(S),음료류,296,mL,245,9,0,0
치즈킹꼬마장사,수산가공식품류,70,g,141,7,9,8
슈퍼콤비네이션 L(석쇠),피자류,172,g,501,28,0,0
해물매운탕,찌개류,600,g,211,29.1,3.9,15.1
CJ 비비고 새우왕교자,즉석식품류,315,g,555,25,21,67
이플 늘려먹는 치즈,유가공품,20,g,85,0,0,3.1
그린비아 키즈,특수용도식품,200,mL,200,6,10,21
레몬그라스,음료류,305,mL,5,0,0,0
트로피카나트로픽스백포도복숭아,음료류,200,mL,110,1,0,26
마시는 카페라떼(190ml*24),음료류,190,mL,140,3,4.9,21
더맛있는슬라이스햄,기타,100,g,185,16,10,7
우리 사과ㆍ레몬차 HOT,음료류,354,mL,208,0,0,0
갈아담은 유기농과일 아기꼬야 사과배,음료류,200,g,200,0,0,48
후루티리얼라임에이드,잼류,50,g,85,0,0,23
키커 녹차,초콜릿류,170,g,944,13,56,97
화이트 치즈볼,빵류,35,g,125,2,0,0
제일제면소 생칼국수,면류,100,g,274.29,6.29,0.91,60.57
ICED 토피 넛 라떼,음료류,400,mL,254,6,0,0
우리나라 옥고감,기타,230,g,260,7,0,0
파워에이드 마이티 포스,음료류,600,mL,60,0,0,15
정어리-전어체,어류,100,g,179,0,0,0
리치고구마치킨 R(치즈링),피자류,178,g,438,26,0,0
네스티,음료류,200,g,800,0,0,198.8
쵸코바닐라,빙과류,50,g,84,2,0,0
수박통통,초콜릿류,348,g,135,1,6,19
